RPC STATS: 1:2 7001:23 
RPC STATS: 1:2 7001:48 
RPC STATS: 1:2 7001:73 
RPC STATS: 1:2 7001:98 
RPC STATS: 1:2 7001:123 
RPC STATS: 1:2 7001:148 
RPC STATS: 1:2 7001:173 
RPC STATS: 1:2 7001:198 
RPC STATS: 1:2 7001:223 
RPC STATS: 1:2 7001:248 
1573145413044:	handler_mgr::get_handle trying to bind...127.0.0.1:19731
1573145413044:	handle_mgr::get_handle bind succeeded 127.0.0.1:19731
1573145413044:	handler_mgr::get_handle trying to bind...127.0.0.1:8096
1573145413044:	handle_mgr::get_handle bind succeeded 127.0.0.1:8096
RPC STATS: 1:2 7001:271 7002:2 
RPC STATS: 1:2 7001:287 7002:11 
RPC STATS: 1:2 7001:304 7002:19 
RPC STATS: 1:2 7001:321 7002:27 
RPC STATS: 1:2 7001:337 7002:36 
RPC STATS: 1:2 7001:354 7002:44 
RPC STATS: 1:2 7001:371 7002:52 
RPC STATS: 1:2 7001:387 7002:61 
RPC STATS: 1:2 7001:408 7002:65 
RPC STATS: 1:2 7001:425 7002:73 
RPC STATS: 1:2 7001:442 7002:81 
RPC STATS: 1:2 7001:458 7002:90 
RPC STATS: 1:2 7001:475 7002:98 
RPC STATS: 1:2 7001:492 7002:106 
RPC STATS: 1:2 7001:508 7002:115 
RPC STATS: 1:2 7001:525 7002:123 
RPC STATS: 1:2 7001:542 7002:131 
RPC STATS: 1:2 7001:558 7002:140 
RPC STATS: 1:2 7001:575 7002:148 
RPC STATS: 1:2 7001:592 7002:156 
RPC STATS: 1:2 7001:609 7002:164 
RPC STATS: 1:2 7001:625 7002:173 
RPC STATS: 1:2 7001:642 7002:181 
RPC STATS: 1:2 7001:659 7002:189 
RPC STATS: 1:2 7001:675 7002:198 
RPC STATS: 1:2 7001:692 7002:206 
RPC STATS: 1:2 7001:709 7002:214 
RPC STATS: 1:2 7001:725 7002:223 
RPC STATS: 1:2 7001:742 7002:231 
RPC STATS: 1:2 7001:759 7002:239 
RPC STATS: 1:2 7001:775 7002:248 
RPC STATS: 1:2 7001:792 7002:256 
RPC STATS: 1:2 7001:809 7002:264 
RPC STATS: 1:2 7001:825 7002:273 
RPC STATS: 1:2 7001:842 7002:281 
RPC STATS: 1:2 7001:859 7002:289 
RPC STATS: 1:2 7001:875 7002:298 
RPC STATS: 1:2 7001:892 7002:306 
RPC STATS: 1:2 7001:909 7002:314 
RPC STATS: 1:2 7001:925 7002:323 
RPC STATS: 1:2 7001:942 7002:331 
RPC STATS: 1:2 7001:959 7002:339 
RPC STATS: 1:2 7001:975 7002:348 
RPC STATS: 1:2 7001:992 7002:356 
RPC STATS: 1:2 7001:1009 7002:364 
RPC STATS: 1:2 7001:1025 7002:373 
RPC STATS: 1:2 7001:1042 7002:381 
RPC STATS: 1:2 7001:1059 7002:389 
RPC STATS: 1:2 7001:1075 7002:398 
RPC STATS: 1:2 7001:1092 7002:406 
RPC STATS: 1:2 7001:1109 7002:414 
RPC STATS: 1:2 7001:1125 7002:423 
RPC STATS: 1:2 7001:1142 7002:431 
RPC STATS: 1:2 7001:1159 7002:439 
